=== Final Model Metrics ===
mAP@50      : 0.2588
mAP@50-95   : 0.1437
Precision   : 0.3833
Recall      : 0.2944
FPS         : 47.6 on T4 GPU

=== Per-class mAP@50 ===
pedestrian       : 0.263
people           : 0.196
bicycle          : 0.038
car              : 0.686
van              : 0.290
truck            : 0.239
tricycle         : 0.156
awning-tricycle  : 0.0714
bus              : 0.358
motor            : 0.282

=== Training config ===
Model       : YOLOv8n (3.0M params)
Dataset     : VisDrone2019-DET
Epochs      : 15
Image size  : 640
Batch       : 16
Train time  : 40 min on Tesla T4
